Make,Model,First Registration,Kilometrage,Body,Body Color,Body Color Original,Country version,Emission Class,Ffuel,Fuel,Gearing Type,Gears,Last Service Date,Nr. of Doors,Nr. of Seats,Offer Number,Paint Type,Previous Owners,Price,Status,Title,Type,Upholstery,Warranty,Weight,Ch,index,kW,km,link,transmission
BMW,i3,2015,"18,261 km",Compact,,Laurus Grey metallise avec lis,,,"Automatic, Electric",Electric,Automatic,,,5,,909659,Metallic,,"€ 18,999.-",Used,We have developed a new application design for you:,Used,,24 months,,173 hp,37,127 kW,"18,261 km",https://www.autoscout24.com//offers/bmw-i3-170ch-60ah-atelier-electric-f3282114-791b-4b07-aa5c-5c49902c8e5c,"Automatic, Electric"
Peugeot,Partner,2017,"12,431 km",Station wagon,,GRIS MISTRAL,,,"Automatic, Electric",Electric,Automatic,,,5,5,sova-EQ-480-WX,,,"€ 15,890.-",Used,We have developed a new application design for you:,Used,,12 months,,- hp,38,- kW,"12,431 km",https://www.autoscout24.com//offers/peugeot-partner-tepee-electrique-allure-electric-2eb029e5-1fdc-4e7c-b37b-9854722e1d27,"Automatic, Electric"
Renault,ZOE,2018,"35,256 km",Sedans,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,5,5,re62c10-EW-612-GG,,,"€ 11,790.-",Used,We have developed a new application design for you:,Used,,6 months,,94 hp,39,69 kW,"35,256 km",https://www.autoscout24.com//offers/renault-zoe-star-wars-charge-normale-r90-electric-white-51635896-4589-4ed8-8cd7-a8a4f4cf883e,"Automatic, Electric"
Renault,ZOE,2016,"45,795 km",Sedans,White,Blanc Glacier,,,"Automatic, Electric",Electric,Automatic,,,5,,20855,,,"€ 8,299.-",Used,We have developed a new application design for you:,Used,,12 months,,90 hp,40,66 kW,"45,795 km",https://www.autoscout24.com//offers/renault-zoe-life-charge-normale-type-2-electric-white-ae73fe85-3e95-4614-8613-600334819755,"Automatic, Electric"
BMW,i3,2017,"44,703 km",Sedans,,Capparis White uni avec lisere,,,"Automatic, Electric",Electric,Automatic,,,5,,92528,,1,"€ 20,450.-",Used,We have developed a new application design for you:,Used,,,,173 hp,41,127 kW,"44,703 km",https://www.autoscout24.com//offers/bmw-i3-170ch-94ah-edition-loft-electric-f1fd6eb4-545a-47f7-869a-debf351d7d29,"Automatic, Electric"
Renault,ZOE,2018,"19,450 km",Sedans,Grey,GRIS CLAIR,,,"Automatic, Electric",Electric,Automatic,,,5,5,re51c1-FA-366-ES,,,"€ 13,990.-",Used,We have developed a new application design for you:,Used,,12 months,,110 hp,42,81 kW,"19,450 km",https://www.autoscout24.com//offers/renault-zoe-intens-r110-my18-electric-grey-6ffeed8f-ae21-48af-b22a-c8fb4aed7809,"Automatic, Electric"
Renault,ZOE,2018,"10,239 km",Sedans,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,5,5,re73c2-FC-713-RN,,,"€ 12,490.-",Used,We have developed a new application design for you:,Used,,12 months,,94 hp,43,69 kW,"10,239 km",https://www.autoscout24.com//offers/renault-zoe-life-charge-normale-r90-my19-electric-white-7c5155a6-ad0c-4c6f-95cc-b66d713500e6,"Automatic, Electric"
BMW,i3,2014,"87,252 km",Sedans,,Andesite silver,,,"Automatic, Electric",Electric,Automatic,,,5,,2008019,,,"€ 14,990.-",Used,We have developed a new application design for you:,Used,,24 months,,173 hp,44,127 kW,"87,252 km",https://www.autoscout24.com//offers/bmw-i3-170ch-urban-life-electric-984a1f83-ed77-4c60-8bd0-4d9df4d00586,"Automatic, Electric"
Renault,Kangoo,2015,"33,544 km",Van,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,3,2,GW_AW419,,,"€ 7,788.-",Used,We have developed a new application design for you:,Used,,,,60 hp,45,44 kW,"33,544 km",https://www.autoscout24.com//offers/renault-kangoo-z-e-2pl-electric-white-e821eb02-0bc0-4ba0-b4eb-1af3229c0030,"Automatic, Electric"
BMW,i3,2019,"4,742 km",Sedans,Blue,Imperial Blue,,,"Automatic, Electric",Electric,Automatic,,,5,,26820,,,"€ 35,390.-",Used,We have developed a new application design for you:,Used,,24 months,,173 hp,46,127 kW,"4,742 km",https://www.autoscout24.com//offers/bmw-i3-170ch-120ah-ilife-atelier-electric-blue-4fa205fb-2b35-4386-8839-bc257fff38cc,"Automatic, Electric"
