,Make,Model,First Registration,Kilometrage (km),Body Color,Gearing Type,Nr. of Doors,Price (€),Status,Warranty (months),Horsepower (ch),Power (kW),Make-Model
148,Renault,ZOE,2018,12,White,Automatic,5,13790,Used,12 ,75 ,55 ,Renault ZOE
149,Nissan,Leaf,2016,30438,White,Automatic,5,10990,Used,12 ,110 ,81 ,Nissan Leaf
150,Renault,ZOE,2016,41460,White,Automatic,5,8690,Used,6 ,88 ,65 ,Renault ZOE
151,BMW,i3,2020,5000,,Automatic,5,39900,Used,,186 ,137 ,BMW i3
152,Renault,ZOE,2016,45795,White,Automatic,5,8299,Used,12 ,90 ,66 ,Renault ZOE
153,Renault,ZOE,2015,64772,Grey,Automatic,5,7990,Used,6 ,88 ,65 ,Renault ZOE
154,BMW,i3,2018,30500,,Automatic,5,20490,Used,24 ,173 ,127 ,BMW i3
155,Renault,ZOE,2017,21105,White,Automatic,5,12499,Used,12 ,94 ,69 ,Renault ZOE
156,Renault,ZOE,2020,5000,,Automatic,5,26590,Used,,110 ,81 ,Renault ZOE
157,Renault,ZOE,2019,26360,Beige,Automatic,5,14299,Used,12 ,94 ,69 ,Renault ZOE
158,Renault,ZOE,2014,77000,White,Automatic,5,7490,Used,,88 ,65 ,Renault ZOE
159,Renault,ZOE,2018,6346,Grey,Automatic,5,13991,Used,6 ,94 ,69 ,Renault ZOE
160,Renault,ZOE,2017,26483,White,Automatic,5,13230,Used,12 ,90 ,66 ,Renault ZOE
161,Nissan,Leaf,2019,44011,Black,Automatic,5,20980,Used,,152 ,112 ,Nissan Leaf
162,Peugeot,208,2020,3500,Grey,,,37300,Used,,- ,- ,Peugeot 208
163,BMW,i3,2020,3000,,Automatic,5,39900,Used,24 ,173 ,127 ,BMW i3
164,Renault,ZOE,2014,49987,White,Automatic,5,7980,Used,,90 ,66 ,Renault ZOE
165,Renault,ZOE,2017,52721,White,Automatic,5,9490,Used,6 ,75 ,55 ,Renault ZOE
166,Hyundai,Ioniq,2019,4000,,Automatic,5,27990,Used,,137 ,101 ,Hyundai Ioniq
167,Renault,ZOE,2017,29881,White,Automatic,5,10490,Used,12 ,94 ,69 ,Renault ZOE
168,BMW,i3,2019,8000,,Automatic,5,33900,Used,,173 ,127 ,BMW i3
169,Renault,ZOE,2019,5900,Blue,Automatic,5,20990,Used,,135 ,99 ,Renault ZOE
170,Renault,ZOE,2016,80189,Grey,Automatic,5,7900,Used,6 ,88 ,65 ,Renault ZOE
171,Citroen,Berlingo,2018,7502,White,Automatic,5,23890,Used,12 ,48 ,35 ,Citroen Berlingo
172,Renault,ZOE,2017,16731,Grey,Automatic,5,9990,Used,12 ,94 ,69 ,Renault ZOE
173,Renault,ZOE,2019,12000,White,Automatic,5,14288,Used,,92 ,68 ,Renault ZOE
174,Renault,ZOE,2015,26338,White,Automatic,5,7490,Used,,88 ,65 ,Renault ZOE
175,BMW,i3,2017,18700,Grey,Automatic,5,24990,Used,24 ,173 ,127 ,BMW i3
176,Renault,ZOE,2018,30659,Grey,Automatic,5,12990,Used,12 ,90 ,66 ,Renault ZOE
